mbtiidx,name,imgFile,category,plants,character,growperiod,growenv,difflevel,reason
1,INTJ,intj.jpg,실내용,"선인장, 알로에, 제라늄, 다육식물, 스투키","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",쉬움,물주기 주기가 길고 관리 효율이 높아 바쁜 일정에도 생육에 지장 없음. 빛이 충분한 창가 환경에서 성장률이 높음.
2,INTJ,intj.jpg,텃밭용,"토마토, 피망, 파프리카, 가지, 옥수수","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,"성장 단계가 명확하고, 계획적으로 영양·수분 공급을 조절하면 수확량 극대화 가능. 체계적인 재배법과 잘 어울림."
3,INTP,intp.jpg,실내용,"버섯 키트, 틸란드시아, 항아리정원, 모스테라리움, 수경재배 허브","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,실험적인 재배 방식과 독특한 형태를 가진 식물로 지적 호기심을 자극.
4,INTP,intp.jpg,텃밭용,"오이, 가지, 방울토마토, 케일, 적상추","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",쉬움,재배 실험과 품종 변화에 적합. 성장 과정을 관찰하며 분석하기 좋음.
5,ENTJ,entj.jpg,실내용,"고무나무, 벤자민고무, 몬스테라, 금전수, 드라세나","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",쉬움,"장기 재배로 큰 성취감을 주고, 공간 장악력이 강한 식물."
6,ENTJ,entj.jpg,텃밭용,"포도, 사과, 배, 옥수수, 감자","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",어려움,장기간 관리와 대규모 수확에 적합해 전략적인 관리 스타일과 어울림.
7,ENTP,entp.jpg,실내용,"안스리움, 알로카시아, 마란타, 항아리정원, 하이드로컬처 식물","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,변화를 즐기고 독특한 식물 재배를 선호하는 성향에 맞음.
8,ENTP,entp.jpg,텃밭용,"체리토마토, 열대과일(패션프루트, 파파야), 오이, 가지, 옥수수","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",어려움,"새로운 품종과 방식 실험에 적합, 빠른 성장과 시도에 보상이 큼."
9,INFJ,infj.jpg,실내용,"백합, 평화백합, 오키드(난), 카틀레야, 베고니아","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",어려움,"상징성과 의미를 중시하는 성향에 맞게, 꽃말·색채·형태가 독특한 식물 추천. 실내 반음지 환경에서 안정적으로 개화 가능."
10,INFJ,infj.jpg,텃밭용,"블루베리, 아로니아, 라즈베리, 포도, 무화과","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",어려움,"장기 재배가 가능하며, 인내와 꾸준한 관리로 풍성한 열매를 맺는 특성이 INFJ의 지속적인 몰입 성향과 잘 맞음."
11,INFP,infp.jpg,실내용,"바질, 민트, 해바라기 화분, 카모마일, 마리골드","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,향기·스토리성이 강하고 작은 공간에서도 키울 수 있어 자기만의 정원 꾸미기에 적합.
12,INFP,infp.jpg,텃밭용,"해바라기, 완두콩, 허브 믹스, 토마토, 고구마","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,식물과의 교감·성장의 의미를 중시하는 INFP에게 적합. 가꾸는 과정 자체가 즐거움이 됨.
13,ENFJ,enfj.jpg,실내용,"장미, 라벤더, 카틀레야, 국화, 자스민","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",어려움,꽃말과 향기에서 상징성을 느끼고 타인과 나누기 좋은 식물.
14,ENFJ,enfj.jpg,텃밭용,"해바라기, 토마토, 허브, 블루베리, 포도","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",어려움,"재배 후 나눔이 용이하고, 상징성과 결과물 모두 만족 가능."
15,ENFP,enfp.jpg,실내용,"몬스테라, 행잉플랜트, 카랑코에, 칼라디움, 크로톤","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,다양한 형태·색감으로 공간을 화사하게 하고 창의적 분위기 조성.
16,ENFP,enfp.jpg,텃밭용,"파프리카, 방울토마토, 허브, 옥수수, 해바라기","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,다양한 색·맛·형태를 즐길 수 있는 작물로 창의적인 재배 아이디어에 활용 가능.
17,ISTJ,istj.jpg,실내용,"산세베리아, 금전수, 스파티필름, 아이비, 고무나무","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",쉬움,"규칙적인 물주기와 일정한 빛을 유지하면 잘 자라는 식물들로, 장기간 안정적으로 키우기 좋음. 실내 온도 변화에도 강하며 관리 매뉴얼이 명확해 성실하고 체계적인 성향과 잘 맞음."
18,ISTJ,istj.jpg,텃밭용,"감자, 양파, 마늘, 완두콩, 브로콜리","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,토양과 물 관리가 비교적 단순하고 성장 주기가 일정해 계획적으로 수확 가능. 규칙적인 시비와 잡초 제거만으로도 수확률이 높음.
19,ISFJ,isfj.jpg,실내용,"라벤더, 로즈마리, 스파이더플랜트, 안스리움, 필로덴드론","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,"은은한 향과 정서 안정 효과를 주는 식물들로, 세심하게 보살피는 성향과 잘 맞음. 실내에서 적당한 햇빛과 꾸준한 관리로 꽃과 잎이 건강하게 유지됨."
20,ISFJ,isfj.jpg,텃밭용,"당근, 상추, 시금치, 케일, 파슬리","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",쉬움,"서늘한 계절에도 잘 자라며, 세심한 토양·수분 관리로 잎과 뿌리 모두 수확 가능. 정성을 들일수록 품질이 좋아짐."
21,ESTJ,estj.jpg,실내용,"동백나무 분재, 고무나무, 드라세나, 파키라, 용설란","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,크고 견고한 수형을 가진 식물로 관리가 체계적이고 명확.
22,ESTJ,estj.jpg,텃밭용,"옥수수, 감자, 밀, 보리, 양배추","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,대규모·계획적 재배에 적합하며 일정한 패턴으로 관리 가능.
23,ESFJ,esfj.jpg,실내용,"국화, 애플민트, 베고니아, 제라늄, 라벤더","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,향기와 꽃을 통해 주변과 교류 가능. 나눔과 선물에 적합.
24,ESFJ,esfj.jpg,텃밭용,"상추, 배추, 시금치, 당근, 브로콜리","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",쉬움,다수 수확 후 주변에 나눌 수 있어 관계 중심적인 성향에 맞음.
25,ISTP,istp.jpg,실내용,"다육식물, 호야, 칼랑코에, 스투키, 페퍼민트","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",쉬움,"관리 부담이 적고 환경 적응력이 뛰어나며, 다양한 환경에서 실험적으로 키우기 좋음."
26,ISTP,istp.jpg,텃밭용,"고추, 무, 배추, 감자, 대파","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",쉬움,다양한 기후 조건에서 잘 자라며 관리 방법이 단순. 실용적인 수확이 가능해 ISTP의 실용 성향과 맞음.
27,ISFP,isfp.jpg,실내용,"튤립, 히아신스, 프리지아, 제라늄, 아젤리아","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,색감과 향이 뛰어나고 계절별로 분위기 변화가 커서 감성적인 성향에 적합.
28,ISFP,isfp.jpg,텃밭용,"딸기, 토마토, 수박, 참외, 멜론","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,색감·맛 모두 뛰어나고 계절마다 수확의 즐거움이 커서 감각적인 만족도가 높음.
29,ESTP,estp.jpg,실내용,"방울토마토 화분, 해바라기, 페퍼민트, 알로카시아, 스파이더플랜트","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",쉬움,성장 속도가 빠르고 시각적으로 변화가 뚜렷한 식물. 활발한 성향과 잘 어울림.
30,ESTP,estp.jpg,텃밭용,"옥수수, 해바라기, 호박, 토마토, 수박","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,빠른 성장과 대규모 수확 가능. 활동적인 관리가 결과로 이어져 성취감이 큼.
31,ESFP,esfp.jpg,실내용,"장미, 수국, 아마릴리스, 브로멜리아드, 칼랑코에","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,"화려한 색과 형태, 풍성한 꽃이 시각적 즐거움을 제공."
32,ESFP,esfp.jpg,텃밭용,"수박, 참외, 딸기, 파프리카, 체리","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,달콤한 맛과 화려한 색감으로 기쁨을 주는 작물. 사람들과 나누기 좋음.
