plantidx,name,engname,category,imgpath,growseason,bloomingseason,sunlight,humidity,temperature,water,disease,summary,note,postdate
1,몬스테라,Monstera,실내식물,monstera.jpg,봄~가을,,중간~밝음,50~60%,18~27℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","거미 진드기, 진딧물, 깍지벌레, 스케일, 트립스","넓고 독특한 구멍이 있는 잎으로 유명하며, 공기 정화 능력이 뛰어나고 실내 장식용으로 인기가 많음. 실내식물로, 광은 중간~밝음이 적합하다. 습도 50~60%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",성숙 잎의 천공을 늘리고 싶다면 지지대(모스폴)를 세워 공중뿌리가 고정되게 하라. 화분을 주기적으로 1/4회전씩 돌려 빛을 고르게 받게 하면 한쪽으로 쏠린 수형을 방지한다.,
2,스투키,Snake Plant (Sansevieria),실내식물,stuki.jpg,연중,,밝음~반그늘,30~50%,15~30℃,"주 2~3주 1회, 흙 완전 건조 후 듬뿍(겨울엔 한 달 1회)","깍지벌레, 깍지벌레류, 거미 진드기, 멸리벌레류, 균핵병","공기 정화 능력이 뛰어나고, 잎이 단단하고 곧게 자라며 건조한 환경에 강한 다육식물이다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 30~50%, 온도 15~30℃에서 안정적으로 자라며 연중 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",광량이 낮아도 버티지만 성장 속도를 원하면 밝은 간접광으로 옮겨라. 물을 줄 때는 화분 전체가 완전히 마른 뒤 바닥 배수구로 물이 흘러나올 만큼 듬뿍 준다.,
3,홍콩야자,Kentia Palm,실내식물,hongkong_palm.jpg,봄~가을,,반그늘,60~70%,18~25℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","응애(거미진드기), 깍지벌레, 진딧물, 곰팡이병, 스케일","작고 귀여운 잎이 모여 자라는 관엽식물로, 실내에서 키우기 좋다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~70%, 온도 18~25℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","실내 야자류 특성상 건조와 통풍 부족에서 잎 끝 마름이 생긴다. 분무는 오전에 짧게 하고, 받침의 고인 물은 바로 비워 뿌리 부패를 막는다. 수태나 자갈 트레이로 주변 습도를 보완하고, 분갈이는",
4,오렌지자스민,Orange Jasmine,실내식물,orange_jasmine.jpg,봄~여름,여름,밝음,50~60%,20~28℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","귤나무이(진딧물), 깍지벌레, 흰가루병(곰팡이), 균핵병, 잿빛곰팡이병","향기로운 하얀 꽃을 피우며, 상쾌한 향기를 뿜는다. 실내식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~28℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","꽃눈 분화를 위해 밝은 빛과 큰 일교차가 도움이 된다. 꽃이 진 뒤에는 가볍게 전정하여 수형을 정리하고, 생육기에는 인산 비율이 약간 높은 비료를 소량 반복 투여한다.",
5,칼라데아,Calathea,실내식물,calathea.jpg,봄~가을,,반그늘,60~80%,18~25℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","뿌리썩음병, 잿빛곰팡이병, 점무늬병, 응애, 깍지벌레","다양하고 화려한 잎 무늬가 특징인 실내식물로, 직사광선을 피하고 높은 습도를 유지하면 건강하게 자란다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~80%, 온도 18~25℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",엽록체가 많은 무늬 잎은 수분 스트레스에 민감하다. 수돗물의 염소·석회 성분에 잎끝 타는 증상이 생길 수 있으니 하루 받아뒀다 쓰거나 정수·빗물을 권장한다.,
6,스파티필름,Peace Lily,실내식물,spathiphyllum.jpg,봄~가을,봄,반그늘,60~70%,18~27℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","줄기썩음병, 뿌리썩음병, 잎썩음병, 흰비단병, 진딧물/총채벌레/거미응애","하얀 꽃과 짙은 녹색 잎이 조화를 이루는 식물로, 실내 공기 정화 효과가 뛰어나다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~70%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다, 봄 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","얕은 건조에는 견디지만 장기 과건조는 개화를 줄인다. 표토가 마르면 저면관수로 흠뻑 적시고, 꽃대는 갈변 직후 아랫부분에서 잘라 새 꽃을 유도한다.",
7,피쿠스 벤자민,Ficus Benjamina,실내식물,ficus_benjamina.jpg,봄~가을,,밝음,50~60%,20~28℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","깍지벌레, 스케일, 거미 진드기, 분무류 곤충, 세균성 잎반점병","작고 반짝이는 잎이 매력적인 나무형 실내식물로, 빛을 좋아하며 인테리어용으로 인기가 높다. 실내식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~28℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","환경 변화에 민감하니 자리 이동을 최소화하고, 겨울철 창가 냉기와 난방 바람을 동시에 피할 수 있는 밝은 위치를 잡아라. 새순이 연할 때 가지치기를 하면 수형이 촘촘해진다.",
8,안스리움,Anthurium,실내식물,anthurium.jpg,봄~가을,봄~여름,반그늘,60~70%,18~27℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","세균점무늬병, 응애, 깍지벌레, 진딧물, 곰팡이병","빨강, 분홍, 흰색 등 다양한 색의 꽃이 매력적인 식물로, 반그늘에서 잘 자란다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~70%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다, 봄~여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","착생성 성향이 있어 배양토는 피트모스+퍼라이트+수피 혼합처럼 통기성 있게 구성한다. 너무 깊게 심지 말고, 뿌리 주변 온도를 따뜻하게 유지하면 꽃대 형성이 활발하다.",
9,알로카시아,Alocasia,실내식물,alocasia.jpg,봄~가을,,밝음~반그늘,60~80%,18~27℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","응애, 진딧물, 깍지벌레, 민달팽이, 곰팡이병","크고 독특한 화살촉 모양의 잎이 특징이며, 열대 식물답게 따뜻하고 습한 환경을 좋아한다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 60~80%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","고온다습을 좋아하지만 통풍이 없으면 응애가 번식하기 쉽다. 잎 뒷면을 주기적으로 살펴 초기 제거하고, 겨울에 지상부가 줄어드는 휴면이 와도 구근이 살아있으면 봄에 다시 오른다.",
10,산세베리아,Sansevieria,실내식물,sansevieria.jpg,연중,,밝음~반그늘,30~50%,15~30℃,"주 2~3주 1회, 흙 완전 건조 후 듬뿍(겨울엔 한 달 1회)","진딧물, 응애, 깍지벌레, 곰팡이병, 바이러스병","공기정화 식물로 유명하며, 건조에 강해 초보자도 쉽게 키울 수 있다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 30~50%, 온도 15~30℃에서 안정적으로 자라며 연중 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","광이 부족하면 무늬와 줄기가 흐려진다. 잎꽂이로 번식할 때는 V자 컷으로 절단면을 넓혀 발근을 돕고, 절단 방향을 뒤집지 않도록 표시해 둔다. 겨울엔 흙이 완전히 마른 뒤에도 바로 주지 말고 1주",
11,아레카야자,Areca Palm,실내식물,areca_palm.jpg,봄~가을,,밝음,60~70%,20~28℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","진드기류(응애), 깍지벌레, 곰팡이병, 진딧물, 흰가루병","부드러운 잎이 우아하게 늘어지는 야자과 식물로, 실내 습도를 높여주는 효과가 있다. 실내식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 20~28℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","불소·염분에 민감하니 정수 또는 하루 받아둔 물을 사용한다. 잎 끝이 갈색으로 마를 땐 공중 습도를 먼저 점검하고, 갈변 부위만 살짝 잘라 형태를 다듬는다.",
12,디펜바키아,Dieffenbachia,실내식물,dieffenbachia.jpg,봄~가을,,밝음~반그늘,50~70%,18~25℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","곰팡이병, 깍지벌레, 진딧물, 뿌리썩음병, 바이러스병","잎의 무늬가 아름다운 실내 관엽식물로, 실내 장식용으로 인기가 많다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 50~70%, 온도 18~25℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","줄기 즙은 자극성이 있어 전정 시 장갑을 착용하라. 과도한 그늘은 줄기를 웃자라게 하므로 밝은 간접광으로 유지한다. 마디가 길어진 개체는 삽목으로 재생산하고, 관수는 표토 건조 후 넉넉히 하되",
13,필로덴드론,Philodendron,실내식물,philodendron.jpg,봄~가을,,반그늘,60~70%,18~27℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","응애, 깍지벌레, 진딧물, 곰팡이병, 뿌리혹선충","다양한 품종이 있으며, 반그늘에서 잘 자라 인테리어 식물로 적합하다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~70%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","덩굴성 품종은 코코넛폴이나 지지대에 유인하면 잎 크기와 절간 간격이 개선된다. 잎 표면의 큐티클을 손상시키는 광택제를 피하고, 부드러운 천으로 주 1회 먼지만 닦아라.",
14,클루시아,Clusia,실내식물,clusia.jpg,봄~가을,,밝음~반그늘,50~60%,18~27℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","진딧물, 깍지벌레, 응애, 잎점무늬병, 곰팡이병","두껍고 광택 있는 잎을 가진 식물로, 공기 정화와 장식 효과가 뛰어나다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 50~60%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","잎이 두꺼워 수분 저장력이 좋아 과습보다 과건조에 강한 편이다. 표토가 마른 뒤 충분히 관수하고, 형태가 퍼질 땐 강전정에도 잘 회복한다. 실내에서는 밝은 자리에서 키우되, 한여름 직광은 잎",
15,드라세나,Dracaena,실내식물,dracaena.jpg,봄~가을,,밝음~반그늘,50~70%,18~27℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","응애, 진딧물, 깍지벌레, 곰팡이병, 뿌리썩음병","길게 자라는 잎과 줄기가 매력적인 식물로, 다양한 품종이 있다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 50~70%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","수돗물의 불소와 염분에 민감하여 잎끝 마름이 잦다. 한 달에 한 번은 배수구로 물이 많이 흘러나가도록 관수해 염류를 씻어내고, 겨울에는 관수 간격을 늘린다.",
16,방울토마토,Cherry Tomato,텃밭식물,cherry_tomato.jpg,봄~여름,여름,밝음,50~60%,20~30℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","애벌레, 진딧물, 흰파리, 무름병, 모자이크병","작고 달콤한 열매가 특징인 토마토 품종으로, 햇빛을 많이 받을수록 맛이 좋아진다. 텃밭식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~30℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","곁순 적심으로 통풍과 채광을 확보하고, 빗물·관수로 토양 수분이 들쭉날쭉하면 배꼽썩음(칼슘 결핍)이 생기니 일정한 수분을 유지하라. 토마토케이지나 지지대를 사용해 줄기를 보호하고, 과실이 착색되기",
17,오이,Cucumber,텃밭식물,cucumber.jpg,봄~여름,여름,밝음,60~70%,20~28℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","오이박멸벌레, 진딧물, 거미 진드기, 애벌레, 바이러스병","덩굴성 식물로, 시원하고 아삭한 열매를 수확할 수 있다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 20~28℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","수확량을 높이려면 수직 유인망에 덩굴을 올리고, 측지의 첫 2~3마디는 유인만 하고 과실은 제거해 초기 생육을 확보한다. 오전 관수로 잎이 젖은 채 밤을 보내지 않게 하고, 분말형 유황·우유희석액",
18,파프리카,Paprika (Bell Pepper),텃밭식물,paprika.jpg,봄~여름,여름,밝음,50~60%,20~28℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","세균성 잎반점병, 진딧물, 흰파리, 진균성 시들음, 바이러스병","다양한 색의 열매가 매력적이며, 비타민C가 풍부하다. 텃밭식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~28℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",야간 기온 15℃ 이하에서는 착과가 불안정해지니 보온 자재로 초기 저온을 피하라. 첫 꽃은 일찍 따서 뿌리와 줄기 성장을 유도하면 이후 과실 크기와 균일도가 좋아진다.,
19,상추,Lettuce,텃밭식물,lettuce.jpg,봄~가을,,밝음,60~70%,15~25℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 애벌레, 오이박멸벌레, 달팽이류, 와이어웜","샐러드나 쌈용으로 많이 재배되며, 빠른 생육 속도를 가진다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~25℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","고온·장일에 추대가 빨라지므로 여름에는 반그늘 또는 차광망 30% 내외를 사용한다. 2주 간격으로 소량씩 파종해 상시 수확 체계를 만들고, 수확은 바깥 잎부터 도려내어 중심부 생장을 유지한다.",
20,시금치,Spinach,텃밭식물,spinach.jpg,"봄,가을",,밝음,60~70%,15~20℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 애벌레류, 벌레 등, 이배추박멸벌레, 와이어웜","비타민과 철분이 풍부한 잎채소로, 서늘한 환경을 좋아한다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~20℃에서 안정적으로 자라며 봄,가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","뿌리가 얕아 건조에 민감하니 얕고 넓게 자주 물을 주되 물웅덩이는 피한다. 파종 후 발아까지 토양을 균일하게 촉촉하게 유지하면 출현이 고르다. 추대 방지를 위해 서늘한 계절에 재배하고, 질소",
21,고추,Chili Pepper,텃밭식물,chili.jpg,봄~여름,여름,밝음,50~60%,20~30℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 거미 진드기, 흰파리, 바이러스병, 세균병","매운맛이 강한 열매를 수확할 수 있으며, 햇빛과 온도를 많이 필요로 한다. 텃밭식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~30℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","초기에는 바람에 꺾이지 않도록 지지대를 세우고, 첫 꽃은 제거해 뿌리 발달을 유도한다. 개화·착과기는 수분 부족에 민감하니 토양이 마르기 전에 꾸준히 보습하라.",
22,가지,Eggplant,텃밭식물,eggplant.jpg,봄~여름,여름,밝음,50~60%,20~28℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 콜로라도감자벌레, 좀벌레, 거미 진드기, 흰파리","보라색 열매가 매력적인 식물로, 볶음, 찜 등 다양한 요리에 활용된다. 텃밭식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~28℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","검정 멀칭으로 지온을 높이고, 과실은 광택 있고 탄력이 있을 때 자주 수확해야 수량과 품질이 유지된다. 측지 전정을 통해 주지 2~3가지를 키우면 관리가 수월해진다.",
23,배추,Cabbage,텃밭식물,cabbage.jpg,가을,,밝음,60~70%,15~20℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 애벌레, 백각나비 유충, 다이아몬드백나비, 페스트팁플라이","김치의 주 재료로 사용되며, 서늘한 계절에 잘 자란다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~20℃에서 안정적으로 자라며 가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","모기망이나 부직포로 초기 해충을 차단하고, 뿌리혹병 예방을 위해 같은 자리 재배를 피한다. 초기 생육이 끊기면 결구가 약해지므로 파종·정식 후 일주일은 수분을 일정하게 유지하라.",
24,브로콜리,Broccoli,텃밭식물,broccoli.jpg,가을,겨울,밝음,60~70%,15~20℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 애벌레류, 배추파리 유충, 다이아몬드백나비, 백각나비","영양가 높은 채소로, 꽃봉오리를 수확하여 먹는다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~20℃에서 안정적으로 자라며 가을 생육이 왕성하다, 겨울 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","중앙 화구 수확 후에도 곁순이 계속 올라오니 비료와 물을 꾸준히 공급하면 장기 수확이 가능하다. 배추흰나비 유충은 BT제 또는 손제거로 초기에 관리하고, 고온기에는 차광과 충분한 간격으로 결구",
25,당근,Carrot,텃밭식물,carrot.jpg,"봄,가을",,밝음,60~70%,15~25℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 당근녹파리, 애벌레류, 슬러그, 와이어웜","주황색 뿌리가 특징이며, 비타민A가 풍부하다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~25℃에서 안정적으로 자라며 봄,가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",싹 솎기를 제때 하지 않으면 비대가 불량해진다. 돌과 덩어리가 많은 토양은 갈라진 당근의 원인이므로 파종 전 깊게 갈아 고운 흙을 만든다. 수분 스트레스가 반복되면 섬유질이 거칠어지니 멀칭으로,
26,무,Radish,텃밭식물,radish.jpg,가을,,밝음,60~70%,15~20℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 애벌레류, 배추파리, 다이아몬드백나비, 벌레류","김치, 국, 나물 등 다양한 요리에 사용되는 뿌리채소이다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~20℃에서 안정적으로 자라며 가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","저온성 작물로 가을 재배가 품질이 좋다. 흙이 오래 마르면 매운맛이 강해지고 목질화되므로 일정한 수분을 유지한다. 수확은 뿌리 어깨가 굵고 매끈할 때 실시하고, 비가 온 직후 바로 수확하면",
27,부추,Chives,텃밭식물,chives.jpg,봄~가을,,밝음,60~70%,15~25℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 애벌레류, 슬러그, 벌레류, 군체벌레","비타민과 미네랄이 풍부하며, 여러 번 수확 가능하다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~25℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","잎을 지면에서 3~4cm 위로 자르고 수확하면 빠르게 재생한다. 뿌리가 촘촘해지면 분주로 나눠 심어 통풍과 생육을 개선하고, 질소 비료는 조금씩 자주 주는 편이 향과 연한 식감을 유지한다.",
28,옥수수,Corn,텃밭식물,corn.jpg,봄,여름,밝음,50~60%,20~30℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","나방류, 녹병, 흰가루병, 좀벌레류, 바이러스병","달콤하고 고소한 맛이 나는 곡물로, 여름철 대표 작물이다. 텃밭식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~30℃에서 안정적으로 자라며 봄 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","교잡을 위해 두 줄 이상 블록으로 심어 바람受분을 높인다. 무릎 높이일 때 추비를 주고, 수염이 나온 뒤 2주가 당도 형성 핵심기이므로 물을 넉넉히 준다.",
29,감자,Potato,텃밭식물,potato.jpg,봄,,밝음,60~70%,15~20℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 거미 진드기, 와이어웜, 곰팡이병, 바이러스병","다양한 요리에 활용되는 뿌리작물로, 서늘한 기후를 선호한다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 15~20℃에서 안정적으로 자라며 봄 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","싹틔우기(치팅) 후 심으면 초기 생육이 균일해진다. 줄기가 15cm 안팎일 때 북주기를 해 햇빛 노출로 녹변(솔라닌)되는 것을 막고, 장마철에는 배수로 정비로 역병을 예방한다.",
30,호박,Pumpkin,텃밭식물,pumpkin.jpg,봄~여름,여름,밝음,60~70%,20~28℃,"토양 건조 시 흠뻑(주 2~4회), 고온기엔 아침마다 점검·관수","진딧물, 오이박멸벌레, 씨앗파리, 슬러그, 스쿼시버그","다양한 요리에 쓰이며, 덩굴이 길게 뻗어 자란다. 텃밭식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 20~28℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","암꽃·수꽃 개화 시기가 엇갈리면 아침에 손수분을 해 착과를 안정시켜라. 넝쿨은 적심으로 가지치기해 통풍을 개선하고, 과실은 지면과 닿지 않게 받침을 대 곰팡이와 얼룩을 예방한다.",
